name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
Chroma 2 Case,14.906596907216494,1238743,0.46338696875921725,1.262134625845441,-0.13204136950303286,0.13204136950303286
Glove Case,34.581321649484536,1214134,0.8208118005799702,2.754586842015807,-0.10659417493992887,0.10659417493992887
Spectrum Case,17.769504123711343,1132583,0.8234175868480301,2.2576075776744906,-0.23246924885763467,0.23246924885763467
Gamma 2 Case,14.560472164948454,1793404,0.591911402988537,1.9019634255844982,-0.06404539113830723,0.06404539113830723
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,27.968,223,0.4284670284670286,0.4558027420267674,-0.37190570689093055,0.37190570689093055
Winter Offensive Weapon Case,32.396422916666666,78010,0.21368841535341995,0.47813445512128305,-0.25841508403490104,0.25841508403490104
Huntsman Weapon Case,48.233989680082566,109445,0.2331686507975405,0.5087890726999386,-0.26547293074679873,0.26547293074679873
CS:GO Weapon Case 2,55.74791145833333,68519,0.06865282870136354,0.7068710724086744,-0.21461089866381342,0.21461089866381342
P250 | Hive (Factory New),25.177191441441444,2847,0.06996489204861349,0.4090929762277967,-0.2917745170293947,0.2917745170293947
AK-47 | Cartel (Field-Tested),60.07623583815029,23961,0.8096096979711096,0.2753955869572623,-0.2747131827344471,0.2747131827344471
Galil AR | Hunting Blind (Factory New),27.813004366812226,445,1.1353675656189983,0.7267952851769183,-0.3019409772323834,0.3019409772323834
Galil AR | Crimson Tsunami (Factory New),18.98254084507042,8874,0.868450003384561,0.3588914323319678,-0.09017551592985636,0.09017551592985636
Autograph Capsule | Counter Logic Gaming | Cologne 2016,76.97426923076924,29,0.3207722357275545,0.53008602525984,-0.25786122148108975,0.25786122148108975
M4A4 | Global Offensive (Minimal Wear),115.53353900709219,2079,0.8016282656993147,1.2916487527428921,-0.6367561008963603,0.6367561008963603
