name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
DreamHack Cluj-Napoca 2015 Train Souvenir Package,109.177,40,0.17774541531823088,0.34550958806225657,-0.30681447385386795,0.30681447385386795
Rio 2022 Mirage Souvenir Package,14.609,9388,-0.055595061089921745,-0.055595061089921745,-0.7832471370520872,0.7832471370520872
Stockholm 2021 Vertigo Souvenir Package,16.596,3450,-0.18435150144984525,0.24240177183455247,-0.6601000406048099,0.6601000406048099
EMS Katowice 2014 Legends,0.0,0,-1.0,inf,inf,inf
Rio 2022 Overpass Souvenir Package,13.6455,1948,-0.14469725460699515,-0.14469725460699515,-0.7195104391648668,0.7195104391648668
DreamHack Cluj-Napoca 2015 Mirage Souvenir Package,149.097,26,-0.17678725236864773,0.3524300383352943,-0.2149290586605947,0.2149290586605947
Katowice 2019 Train Souvenir Package,48.847,97,0.2463194958283368,0.42593318738038466,-0.3756262817258659,0.3756262817258659
Berlin 2019 Overpass Souvenir Package,37.795,1182,0.01598096799774187,0.09713336929669922,-0.3797904897628702,0.3797904897628702
ESL One Katowice 2015 Mirage Souvenir Package,303.289,37,0.4144556736513681,0.40173048307496323,-0.27822077958165464,0.27822077958165464
Krakow 2017 Overpass Souvenir Package,189.508,81,-0.1123705497449636,0.4516161589210928,-0.3243393217553708,0.3243393217553708
Stockholm 2021 Overpass Souvenir Package,17.089,2574,-0.21814521663540287,0.18382443876928978,-0.5500249077294063,0.5500249077294063
London 2018 Inferno Souvenir Package,46.583,468,0.14204810120375583,0.31362439309209084,-0.41073191685015775,0.41073191685015775
Atlanta 2017 Mirage Souvenir Package,93.777,60,0.1661340263874554,0.3539690297601064,-0.33030009532859167,0.33030009532859167
Berlin 2019 Vertigo Souvenir Package,41.303,861,0.09246964847779499,0.21000007499117257,-0.41932427177429343,0.41932427177429343
DreamHack 2014 Dust II Souvenir Package,993.0075,7,0.07238663079832265,0.524064318553189,0.43277561724356567,0.43277561724356567
ESL One Cologne 2014 Mirage Souvenir Package,722.9449999999999,6,0.5660023827575003,0.39131372767517303,-0.27536502626361414,0.27536502626361414
