name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
Chroma 2 Case,11.882515717092337,1538830,0.42764729242854155,1.2176175728733325,-0.19054085022803247,0.19054085022803247
Glove Case,28.31001177625123,1488874,0.6104062982624453,3.6318278639899386,-0.03207281205390559,0.03207281205390559
Spectrum Case,13.727565260058881,1454641,0.7413345538413467,2.240997338290097,-0.2082462439782644,0.2082462439782644
Gamma 2 Case,11.233482826300293,2175489,0.48350512056613515,1.7897757119323714,0.2560832070647819,0.2560832070647819
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,23.186615894039733,313,0.22278027131252026,0.42887293363468737,-0.399152446597985,0.399152446597985
Winter Offensive Weapon Case,29.054131658291457,87225,0.13226732873266586,0.3427679550951382,-0.22188469702236505,0.22188469702236505
Huntsman Weapon Case,44.50864525691699,126927,0.2416167895259538,0.7946756151279313,-0.29553937587576606,0.29553937587576606
CS:GO Weapon Case 2,59.14889145728644,77947,0.306972810382434,0.6301750578541854,-0.19332271969551706,0.19332271969551706
P250 | Hive (Factory New),27.972356164383562,3329,0.3964582715852159,0.3926492217618973,-0.27362668444983207,0.27362668444983207
AK-47 | Cartel (Field-Tested),47.946707676130394,30227,0.560968753398354,0.27604650469878933,-0.24815399133905888,0.24815399133905888
Galil AR | Hunting Blind (Factory New),24.38578111587983,504,1.1691926456114514,0.47003798451171136,-0.28472550498541893,0.28472550498541893
Galil AR | Crimson Tsunami (Factory New),16.284194407456724,12003,0.7854162255907335,0.29907496504504233,-0.0761339008641091,0.0761339008641091
Autograph Capsule | Counter Logic Gaming | Cologne 2016,82.7251304347826,25,0.5210879818110086,0.6256090472783618,-0.2667679546811004,0.2667679546811004
M4A4 | Global Offensive (Minimal Wear),108.1429560669456,2583,1.4253720939959622,1.8174521006832847,-0.601422316633662,0.601422316633662
