name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
M4A4 | Converter (Minimal Wear),2.625,115185,-0.4347545219638243,-0.1957912089718095,0.34387286217708457,0.34387286217708457
AK-47 | Hydroponic (Battle-Scarred),2256.893,35,0.07317426903476805,0.5722788847049992,-0.34919422381453447,0.34919422381453447
StatTrak™ Galil AR | Rocket Pop (Field-Tested),8.517,13510,0.6419895893580102,0.30892078284483027,-0.1940229120228254,0.1940229120228254
StatTrak™ M4A1-S | Decimator (Well-Worn),143.987,758,0.12975284425264802,0.16319693088577378,0.03352127429319959,0.03352127429319959
Souvenir Galil AR | Amber Fade (Field-Tested),11.0055,5567,1.2795153272576634,0.741602590081088,-0.0027437585808206544,0.0027437585808206544
M4A4 | The Battlestar (Well-Worn),26.036,1387,0.02503937007874027,0.06771161066824109,-0.03971897413780875,0.03971897413780875
SG 553 | Tiger Moth (Field-Tested),3.27,23314,0.11073369565217393,0.10741976451151883,-0.007418722053028182,0.007418722053028182
StatTrak™ AUG | Aristocrat (Factory New),29.621,2089,0.19309622588311098,0.136850633268803,-0.07005329734498418,0.07005329734498418
StatTrak™ FAMAS | ZX Spectron (Minimal Wear),30.098,2484,-0.03398915171550538,0.40019706382431974,-0.5230965851607953,0.5230965851607953
AK-47 | X-Ray (Well-Worn),1904.6799999999998,86,-0.001035321563325155,-0.016563021169932163,-0.2462876887005882,0.2462876887005882
AUG | Midnight Lily (Minimal Wear),1387.438,16,0.5393639895884417,0.7855573888485775,-0.575574305668062,0.575574305668062
FAMAS | Macabre (Well-Worn),12.494499999999999,292,0.7924826052650454,0.539054032889488,-0.23988851951590728,0.23988851951590728
StatTrak™ AK-47 | Vulcan (Well-Worn),1061.79,111,0.06364073487868889,0.16519004795034037,-0.26061207983398665,0.26061207983398665
StatTrak™ AK-47 | Ice Coaled (Factory New),223.82549999999998,3596,-0.4671493835301736,-0.4671493835301736,-0.014524527267744588,0.014524527267744588
FAMAS | Doomkitty (Minimal Wear),21.517,2950,0.887456140350877,0.6330795046650459,-0.32364532419661546,0.32364532419661546
StatTrak™ AUG | Chameleon (Factory New),97.424,885,-0.0646338185030147,0.11319025746619718,-0.17699051155475085,0.17699051155475085
StatTrak™ M4A4 | The Battlestar (Battle-Scarred),73.95150000000001,288,0.15523947886399872,0.06824272249295614,0.007161516275189318,0.007161516275189318
M4A1-S | Moss Quartz (Factory New),305.129,2353,2.5043699968990825,1.3459773138270779,-0.3974480482957656,0.3974480482957656
AUG | Akihabara Accept (Field-Tested),3108.288,30,-0.05418733601765483,0.45013924427344343,-0.33722301581881037,0.33722301581881037
StatTrak™ M4A1-S | Cyrex (Minimal Wear),383.42,875,0.1236722295407222,0.03797565673715317,-0.12864169201190523,0.12864169201190523
StatTrak™ SG 553 | Tiger Moth (Minimal Wear),14.653,2799,0.14031128404669269,0.008826767713854503,0.02830770978052285,0.02830770978052285
StatTrak™ Galil AR | Akoben (Well-Worn),3.815,4034,0.4347499059796917,0.18228533687322593,-0.022133730944871796,0.022133730944871796
StatTrak™ AUG | Amber Slipstream (Well-Worn),1.7400000000000002,3094,0.1357702349869453,-0.10954770270845446,-0.03961684064310758,0.03961684064310758
StatTrak™ SG 553 | Darkwing (Minimal Wear),8.804,9504,0.0932571712405314,-0.15496034741396433,-0.07245238500209651,0.07245238500209651
SG 553 | Damascus Steel (Well-Worn),1.749,54023,-0.526273022751896,0.3585153519245953,0.05436887826617068,0.05436887826617068
Souvenir AUG | Storm (Field-Tested),46.26,256,0.2552233136158897,0.4368310920244453,-0.09827226242007189,0.09827226242007189
SG 553 | Gator Mesh (Factory New),56.311,321,0.9688128245022113,0.4926217070265151,-0.3066138127078852,0.3066138127078852
AUG | Flame Jörmungandr (Minimal Wear),1320.1115,15,0.2973335659164224,0.5304817223235042,-0.5779661417695182,0.5779661417695182
AK-47 | Phantom Disruptor (Factory New),48.722,19238,-0.026144313411952825,-0.09331775063717707,-0.1319306824910954,0.1319306824910954
Galil AR | Stone Cold (Battle-Scarred),5.248,9465,0.16777926123720527,0.15674831308738424,-0.07646540092603424,0.07646540092603424
AK-47 | Emerald Pinstripe (Factory New),44.766,12735,-0.3547336254612547,0.16442731601609284,-0.02229027357720122,0.02229027357720122
Souvenir AUG | Spalted Wood (Battle-Scarred),0.6924999999999999,1271,0.06049004594180684,-0.001989934049153836,0.012269979743398718,0.012269979743398718
Souvenir AUG | Random Access (Field-Tested),6.7355,1174,-0.22766884531590414,-0.16032036524335017,0.8467079483870485,0.8467079483870485
