name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
SCAR-20 | Assault (Field-Tested),0.6966741293532338,52577,0.7316512347216153,0.28218056055826873,-0.2375302202174438,0.2375302202174438
Souvenir SSG 08 | Hand Brake (Minimal Wear),23.97734153846154,735,-0.09517417230346574,-0.03178951207053125,0.03968964563750977,0.03968964563750977
StatTrak™ AWP | Mortis (Battle-Scarred),27.135169039145907,5497,0.031910486401338256,-0.15037285851306328,0.35270598817656024,0.35270598817656024
StatTrak™ G3SG1 | The Executioner (Well-Worn),12.696959349593495,1644,0.12058752058844004,-0.021942047981884243,0.23335165648520664,0.23335165648520664
SCAR-20 | Jungle Slipstream (Minimal Wear),0.6255842167255594,32097,0.2674684246436593,0.124115354868713,-0.04227307273768683,0.04227307273768683
SCAR-20 | Poultrygeist (Minimal Wear),0.44256090373280943,236534,-0.154073556932092,-0.154073556932092,-0.11659296662583286,0.11659296662583286
AWP | Worm God (Field-Tested),6.238490157480315,121606,0.005082202429145917,0.1069270148304249,-0.16629067154034313,0.16629067154034313
SCAR-20 | Magna Carta (Factory New),108.404418230563,1178,1.2782899433887462,1.6606072107539767,-0.5241480079963226,0.5241480079963226
Souvenir G3SG1 | Ancient Ritual (Factory New),2.805214437367303,2691,0.1575597484320206,0.21135629837663344,0.03586312676869523,0.03586312676869523
SCAR-20 | Jungle Slipstream (Battle-Scarred),0.49682888888888893,4056,-0.020564167191766177,0.24944488713246646,-0.037890000862814674,0.037890000862814674
G3SG1 | Arctic Camo (Minimal Wear),61.526773809523796,112,0.21981927546283378,0.7742301921665987,-0.291520402981322,0.291520402981322
G3SG1 | Orange Crash (Battle-Scarred),0.4686048565121414,5381,-0.11328678268816579,0.14383887502871445,0.050323016704449386,0.050323016704449386
SCAR-20 | Outbreak (Well-Worn),0.49603080082135526,4872,0.36650697626871565,0.4350328983701103,0.11144456876044632,0.11144456876044632
G3SG1 | Orange Kimono (Well-Worn),12.246969387755101,358,0.36137834129708685,0.573868634836477,-0.35992204953931856,0.35992204953931856
Souvenir G3SG1 | Ancient Ritual (Well-Worn),1.4121460674157302,1455,-0.004027680646330843,-0.0704944747280626,-0.038849085186257765,0.038849085186257765
SSG 08 | Red Stone (Factory New),69.13147605633803,852,1.5610294631553674,1.1838349435478028,-0.37075157772736816,0.37075157772736816
StatTrak™ AWP | Redline (Well-Worn),540.6873421052632,39,0.16348822230258625,0.14754306421037677,-0.20952522337511995,0.20952522337511995
StatTrak™ SCAR-20 | Outbreak (Well-Worn),2.0757203389830505,1341,1.1573366022293756,0.1530885696904947,0.028222730392055743,0.028222730392055743
AWP | Containment Breach (Minimal Wear),665.2994974489795,1194,-0.02012070653501789,0.2581992913183752,-0.3620366240557939,0.3620366240557939
AWP | Chromatic Aberration (Field-Tested),33.638250984251975,100195,-0.6010693373664954,-0.6010693373664954,0.15059542265247297,0.15059542265247297
StatTrak™ G3SG1 | Keeping Tabs (Well-Worn),2.4376601941747573,482,0.4761982897431235,0.6236136823027051,-0.6290762902664142,0.6290762902664142
StatTrak™ AWP | Mortis (Factory New),75.28812234910278,5144,-0.029498044513051686,-0.1213089305211605,0.25261691615419984,0.25261691615419984
StatTrak™ AWP | Mortis (Minimal Wear),32.85474078624078,13345,-0.03289240668667554,-0.1785254521178517,0.29621033158181226,0.29621033158181226
G3SG1 | Stinger (Well-Worn),1.9089690476190477,2817,-0.467775279045876,0.18309009011015198,-0.028448182772506447,0.028448182772506447
SCAR-20 | Blueprint (Field-Tested),1.0295641361256547,48006,0.8762059067758932,0.24683228682098435,-0.10499244779794882,0.10499244779794882
StatTrak™ AWP | Worm God (Minimal Wear),21.209879458794585,14157,0.022535359302371924,0.01370607312514456,-0.20140452996017655,0.20140452996017655
SSG 08 | Necropos (Field-Tested),3.0691932299012694,27598,0.8333167427329882,0.4621227573257121,-0.17031233419195627,0.17031233419195627
StatTrak™ AWP | Wildfire (Battle-Scarred),309.3785323076923,766,0.1126506191113235,0.05088413361222362,0.023373877525750937,0.023373877525750937
G3SG1 | Desert Storm (Factory New),0.4080670640834575,12947,-0.6082243622974975,0.06243571841559944,0.011943731818519425,0.011943731818519425
StatTrak™ SCAR-20 | Blueprint (Minimal Wear),2.7309981412639406,6244,0.30699579056026194,0.13364852781701572,-0.12515779696325532,0.12515779696325532
Souvenir G3SG1 | Polar Camo (Minimal Wear),10.252187692307691,855,0.02026458849340545,0.13213505894006156,0.24622067588056268,0.24622067588056268
Souvenir AWP | Acheron (Field-Tested),26.140346743295016,4133,-0.2270637308286278,-0.16346206513028644,0.8497356596203716,0.8497356596203716
SSG 08 | Lichen Dashed (Factory New),136.1425192307692,56,0.9888058502476103,0.47737525389635077,-0.199244623870472,0.199244623870472
SCAR-20 | Cardiac (Battle-Scarred),14.519893246187365,2781,0.18044783641070386,0.07425528799466977,-0.046174884229516905,0.046174884229516905
StatTrak™ G3SG1 | Demeter (Well-Worn),25.437242718446598,149,-0.011264113683610107,0.28405184932537103,-0.22625619913393794,0.22625619913393794
Souvenir G3SG1 | Jungle Dashed (Battle-Scarred),53.68495652173914,24,0.35928660554676317,0.6027295307675025,-0.12503795104659904,0.12503795104659904
SSG 08 | Dragonfire (Field-Tested),52.43219226393629,23316,0.018552348613259134,0.017106651421187898,0.07142474831958955,0.07142474831958955
SSG 08 | Abyss (Field-Tested),0.9297704433497537,98602,-0.3013217084886128,0.16742362726107018,-0.10520569605201134,0.10520569605201134
