name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
Autograph Capsule | FaZe Clan | Atlanta 2017,33.56696052631579,110,0.025755295180216364,0.4831221527058045,-0.3884720574774114,0.3884720574774114
Poorly Drawn Capsule,4.3420497335701596,8584,0.01568089359842355,0.1244310726364447,-0.31113428549091005,0.31113428549091005
Autograph Capsule | Team eBettle | Cologne 2015,24.673054945054947,221,0.347361512185002,0.5360814198904482,-0.06642940763443475,0.06642940763443475
Berlin 2019 Dust II Souvenir Package,46.014117647058825,230,0.010490236743029357,0.3675584580527777,-0.36507477541368566,0.36507477541368566
Antwerp 2022 Vertigo Souvenir Package,18.514703081232494,2570,-0.21630573661773986,-0.21630573661773986,-0.5253924284395198,0.5253924284395198
DreamHack Cluj-Napoca 2015 Dust II Souvenir Package,185.260275862069,30,0.3792085419446479,0.3617470010963022,-0.32777046955410677,0.32777046955410677
Stockholm 2021 Challengers Patch Pack,40.11742956120093,4115,-0.03726858429490102,2.7790330996876182,-0.6111122819815333,0.6111122819815333
Cologne 2016 Cobblestone Souvenir Package,6335.470785714285,30,0.4712941053568268,0.7815099533008569,-0.451472044535727,0.451472044535727
CS20 Sticker Capsule,3.765829482948295,87743,-0.11369107726682715,-0.02312938378535047,-0.16908391965558572,0.16908391965558572
Rio 2022 Legends Autograph Capsule,1.4517254054054054,138325,-0.2771928900934229,-0.2771928900934229,-0.8224658793088844,0.8224658793088844
ESL One Katowice 2015 Cobblestone Souvenir Package,6022.048869565219,25,0.4350293241412413,0.6226742449965454,-0.40001153561439423,0.40001153561439423
ESL One Cologne 2015 Cobblestone Souvenir Package,5962.170047619047,51,0.377437309719436,0.679144749826129,-0.44674341406018303,0.44674341406018303
eSports 2013 Case,194.45536327345306,4112,0.12835961821714173,0.39080089540858826,-0.27488557875109254,0.27488557875109254
CS:GO Weapon Case 3,32.620098507462686,85844,0.0487499919821143,0.8018250649282853,-0.20676868430772388,0.20676868430772388
Shattered Web Case,17.145262536873155,225561,0.3818864887058431,0.6440931287412712,-0.3860966859788452,0.3860966859788452
Shadow Case,4.451325809617272,1136225,0.3792296615285592,0.6515730859594966,-0.1285545432298189,0.1285545432298189
Autograph Capsule | Splyce | MLG Columbus 2016,25.22392125984252,292,0.3999848016932383,0.49905373761151167,-0.318605145684446,0.318605145684446
Chicken Capsule,4.102092957746478,9919,-0.06432291006305839,-0.009764431980053981,-0.01733963169002875,0.01733963169002875
Operation Breakout Weapon Case,31.53882139352306,1232394,0.3302815418067776,1.6007522359245243,-0.13161012815413023,0.13161012815413023
Autograph Capsule | Fnatic | Atlanta 2017,22.279655172413793,197,-0.003791840433546666,0.45144958977729344,-0.29904162527632433,0.29904162527632433
Autograph Capsule | Virtus.Pro | Cologne 2016,32.91541176470589,128,0.16560364169307065,0.3720460930311564,-0.3214939454945826,0.3214939454945826
Stockholm 2021 Champions Autograph Capsule,2.1805250255362614,134160,-0.267130051187498,-0.267130051187498,-0.5995570532700154,0.5995570532700154
Operation Hydra Case,85.69419338677355,69303,0.03660772133681274,0.5059208676661054,-0.27427500613159633,0.27427500613159633
Autograph Capsule | Team EnVyUs | Atlanta 2017,33.39660606060606,177,0.05592016916771699,0.630649267576609,-0.34038124250976787,0.34038124250976787
Krakow 2017 Mirage Souvenir Package,128.2867547169811,70,0.3511017028399325,0.5137186437263052,-0.3801254616444303,0.3801254616444303
Boston 2018 Cobblestone Souvenir Package,6123.803571428571,35,0.5360425160894482,0.7074252155787297,-0.5158970216814062,0.5158970216814062
The Boardroom Sticker Capsule,4.204095389507154,17006,-0.03103427594739773,-0.03103427594739773,-0.7446623224527792,0.7446623224527792
Chroma 2 Case,11.897120706575075,1532239,0.4220058878119658,1.2178773393514093,-0.1902741420278468,0.1902741420278468
Autograph Capsule | Fnatic | Cologne 2015,15.150728021978022,1323,0.022793926387587732,0.34696822660969334,-0.3218870975528102,0.3218870975528102
Antwerp 2022 Legends Autograph Capsule,1.2999666666666667,225787,-0.45293086306164415,-0.45293086306164415,-0.7378477664690543,0.7378477664690543
DreamHack 2013 Souvenir Package,2277.8983333333335,12,0.5293607258158116,0.4239305414847899,-0.30373329467287147,0.30373329467287147
DreamHack Cluj-Napoca 2015 Mirage Souvenir Package,160.16852,26,-0.1225990212160524,0.36436241386681256,-0.24970452451011438,0.24970452451011438
Autograph Capsule | Legends (Foil) | Atlanta 2017,369.06994999999995,56,0.03249291511815598,0.6872036195808721,-0.3553626701222286,0.3553626701222286
Slid3 Capsule,4.378874517374517,8498,-0.0038981798930419953,-0.006600508707576306,-0.025861355279028737,0.025861355279028737
EMS Katowice 2014 Challengers,6546.806,1,inf,inf,inf,inf
Autograph Capsule | HellRaisers | Atlanta 2017,31.244640449438204,128,0.22714797509849025,0.47343493335777126,-0.3079074602908403,0.3079074602908403
2020 RMR Legends,0.832463126843658,614987,-0.3067033536681174,0.12763069227071094,-0.6186200105963258,0.6186200105963258
Rio 2022 Contenders Autograph Capsule,1.343132054176072,115038,-0.36299291613054735,-0.36299291613054735,-0.7901264298615291,0.7901264298615291
MLG Columbus 2016 Train Souvenir Package,252.09809090909087,11,0.436915708462777,0.5010678044293132,-0.24199768259510554,0.24199768259510554
Autograph Capsule | Titan | Cluj-Napoca 2015,74.27361581920904,350,0.5638114510231876,0.5738341123533426,-0.40824645478372207,0.40824645478372207
X-Ray P250 Package,10.2784412470024,1979,-0.06827655060638121,-0.0005554105545352746,-0.0778718599368298,0.0778718599368298
