name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
Sticker | TeSeS | Antwerp 2022,0.038879496402877696,16515,0.10444518538799596,0.10444518538799596,-0.821915740211566,0.821915740211566
Sticker | bLitz (Glitter) | Rio 2022,0.1823994252873563,1558,-0.2804874991411645,-0.2804874991411645,-0.7879983671247789,0.7879983671247789
Sticker | apEX (Gold) | Boston 2018,464.577,1,-0.10085931603088903,0.7948969474249236,-0.4282837528604119,0.4282837528604119
Sticker | Titan (Foil) | Cologne 2015,521.8049042553191,153,0.2870793801039697,0.8383394160491842,-0.41042943328764325,0.41042943328764325
Sticker | Tyloo | Stockholm 2021,1.9089623786407768,59334,-0.1538102355731525,3.6902376209058483,-0.6997569389581093,0.6997569389581093
Sticker | acoR (Gold) | Rio 2022,13.644507692307693,89,-0.5660567082470918,-0.5660567082470918,-0.760752688172043,0.760752688172043
Sticker | Web Stuck (Holo),3.055119474313023,35049,-0.15457718713831436,0.3329609089049352,-0.30648376630679225,0.30648376630679225
Sticker | Hello MAC-10 (Gold),5.9911111111111115,1020,0.23718618508373107,0.6487469654105874,-0.3604736105004718,0.3604736105004718
Sticker | Grayhound Gaming (Glitter) | Rio 2022,0.14112091503267973,28395,-0.6138340306559302,-0.6138340306559302,-0.8278350077912314,0.8278350077912314
Sticker | Supreme Master First Class (Holo),5.169346228239845,4493,-0.40463773512927215,-0.1514087890510216,-0.05478800904301248,0.05478800904301248
Sticker | Movistar Riders (Holo) | Stockholm 2021,42.069883629191324,4274,-0.24050610719965865,2.618092439899159,-0.7413069155591734,0.7413069155591734
Sticker | Splyce | MLG Columbus 2016,28.590151436031338,2406,0.7346492372854379,0.6036337851966805,-0.29339853233609675,0.29339853233609675
Sticker | CeRq (Gold) | Katowice 2019,237.5218888888889,9,0.19631181535997813,0.042810122941834845,-0.2471044231646147,0.2471044231646147
Sticker | seized (Foil) | Krakow 2017,49.08828571428572,60,-0.3401526055224512,1.0398581334953318,-0.4596346314948254,0.4596346314948254
Sticker | compLexity Gaming (Holo) | Katowice 2014,0.0,0,-1.0,0.9131992702750718,-0.49292407431834945,0.49292407431834945
Sticker | chrisJ (Gold) | London 2018,243.5265,4,-0.5026239602959423,1.0312993381901556,-0.4439286987522282,0.4439286987522282
Sticker | hutji | Katowice 2019,2.8572294520547947,757,1.242009385935051,0.401629937946686,-0.30647413635996545,0.30647413635996545
Sticker | dephh | Berlin 2019,0.197244094488189,9325,1.1971524548536332,0.13653281602180906,-0.35879109566329925,0.35879109566329925
Sticker | flusha (Gold) | Boston 2018,5036.31,1,4.729462687748943,1.5399455086323488,-0.4266190476190476,0.4266190476190476
Sticker | NBK- (Gold) | Krakow 2017,0.0,0,,1.0225632396240276,-0.6539266075636855,0.6539266075636855
Sticker | fer (Gold) | Krakow 2017,911.953,2,inf,inf,inf,inf
Sticker | TeSeS (Gold) | Stockholm 2021,23.75865625,85,-0.11859719869117623,-0.11859719869117623,-0.6964285714285714,0.6964285714285714
Sticker | roeJ | Rio 2022,0.1528015122873346,10457,2.279966595205666,2.279966595205666,-0.6914155870982973,0.6914155870982973
Sticker | EspiranTo (Foil) | Berlin 2019,1.865885416666667,603,1.02471456690475,0.2277684381869438,-0.33910786055227116,0.33910786055227116
Sticker | TaZ | Cologne 2016,9.873199999999999,94,0.5738597598689031,0.331079020164751,-0.31013280910862034,0.31013280910862034
Sticker | TACO (Gold) | Krakow 2017,0.0,0,-1.0,0.8026879453183212,-0.495541351010101,0.495541351010101
Sticker | Hyper | Cologne 2015,27.425904761904768,84,1.850659332321747,0.3965927836073845,-0.12137967671637151,0.12137967671637151
